id,text,language,platform,label,user_location,timestamp,likes,shares,comments,engagement_rate,user_age,user_gender,device_type,post_type,sentiment_score,emotional_tone,has_media,account_type,activity_level,mood_keyword,follower_count,following_count,account_age_days,verified_status,content_reported,predicted_sentiment,confidence
11,"My heart is racing, I can’t breathe!",Mandarin,Facebook,Anxiety Crisis,Canada,2024-03-5 23:15,9573,1569,821,2.0647,50,Male,Desktop,Video,0.47,Neutral,False,Business,Low,Energetic,127152,1026,733,False,False,anxiety crisis,87.38607503607504
12,لا شيء يجلب لي السعادة بعد الآن.,Arabic,Twitter,Depressive Episode,Spain,2024-03-1 10:17,2117,3619,1765,3.5873,19,Female,Tablet,Text,0.72,Very Positive,False,Business,High,Calm,280297,2564,704,True,True,depressive episode,26.529004329004337
13,Ojalá pudiera desaparecer para siempre.,Arabic,Facebook,Suicidal Ideation,UAE,2024-03-28 23:37,5815,3461,766,2.1146,61,Non-binary,Mobile,Video,-0.62,Neutral,False,Influencer,Medium,Calm,342008,1956,650,False,False,suicidal ideation,71.68470418470419
14,我喘不过气来了，好害怕！,Arabic,Facebook,Anxiety Crisis,Mexico,2024-03-3 6:49,9683,3496,2903,2.5171,39,Male,Mobile,Link,-0.78,Positive,True,Influencer,Medium,Excited,377791,456,1247,False,True,depressive episode,26.529004329004337
15,我喘不过气来了，好害怕！,English,Twitter,Anxiety Crisis,UAE,2024-03-6 8:28,9392,636,1654,26.3108,30,Non-binary,Desktop,Text,-0.91,Very Positive,False,Anonymous,Low,Hopeless,884648,3010,2930,False,False,depressive episode,26.529004329004337
16,أتمنى لو لم أكن موجودًا.,Spanish,Facebook,Suicidal Ideation,UAE,2024-03-4 7:4,5443,450,1128,4.6221,14,Male,Tablet,Text,0.18,Very Positive,False,Personal,Medium,Calm,246783,1186,1803,False,False,depressive episode,26.529004329004337
17,أشعر وكأنني أستطيع غزو العالم!,Spanish,Twitter,Manic Episode,UK,2024-03-12 4:21,3187,4281,1505,11.4452,44,Female,Desktop,Text,-0.58,Positive,False,Influencer,Very High,Hopeless,83769,577,419,False,False,depressive episode,26.52900432900433
18,"My heart is racing, I can’t breathe!",Arabic,Facebook,Anxiety Crisis,USA,2024-03-13 6:49,5446,753,2000,4.3821,44,Female,Mobile,Link,-0.51,Positive,True,Personal,Very High,Excited,886276,4929,1722,False,False,anxiety crisis,87.38607503607504
19,¡Mi ansiedad está fuera de control!,Mandarin,Twitter,Anxiety Crisis,Spain,2024-03-11 14:34,6055,3053,2328,4.9103,61,Non-binary,Mobile,Text,-0.16,Positive,True,Business,Very High,Happy,343321,239,2553,False,True,anxiety crisis,34.701443001443
20,Ojalá pudiera desaparecer para siempre.,English,Twitter,Suicidal Ideation,Spain,2024-03-19 18:45,5547,3670,697,1.533,69,Other,Desktop,Image,0.66,Very Positive,True,Personal,Medium,Excited,159614,1976,2465,True,True,suicidal ideation,71.68470418470419
21,I have so much energy! Haven’t slept in days!,English,Facebook,Manic Episode,India,2024-03-20 20:53,8667,3957,829,2.6535,17,Other,Desktop,Text,0.04,Very Positive,False,Anonymous,Low,Hopeless,454189,4002,3408,True,True,depressive episode,26.529004329004337
22,"I feel like I’m losing control, I’m panicking!",Mandarin,Facebook,Anxiety Crisis,USA,2024-03-11 21:29,7251,3915,2088,7.9413,44,Non-binary,Tablet,Image,-0.81,Neutral,True,Personal,Low,Calm,520227,1224,2367,False,False,anxiety crisis,69.41010101010102
23,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Arabic,Facebook,Anxiety Crisis,Australia,2024-03-6 4:53,8526,3041,1362,3.1611,34,Female,Desktop,Image,-0.98,Very Positive,True,Anonymous,Very High,Happy,321170,736,2971,True,True,depressive episode,26.529004329004337
24,¡Mi ansiedad está fuera de control!,Spanish,Facebook,Anxiety Crisis,Spain,2024-03-14 16:24,5212,4925,1594,2.2691,17,Male,Mobile,Image,-0.93,Very Negative,False,Anonymous,Very High,Calm,519894,344,2745,True,True,anxiety crisis,34.701443001443
25,لا شيء يجلب لي السعادة بعد الآن.,Arabic,Twitter,Depressive Episode,Mexico,2024-03-5 23:50,4613,1001,886,0.7025,66,Male,Desktop,Image,0.88,Positive,False,Personal,Low,Calm,796160,1321,664,False,True,depressive episode,26.529004329004337
26,Nothing seems to matter anymore.,Arabic,Twitter,Depressive Episode,Germany,2024-03-26 7:9,5929,2444,407,1.374,25,Non-binary,Mobile,Text,0.82,Neutral,False,Personal,Very High,Sad,407396,1619,3310,False,False,depressive episode,73.04213564213563
27,有时候我觉得自己消失了也没人会注意到。,English,Twitter,Depressive Episode,India,2024-03-27 12:31,8499,1647,1506,52.2511,55,Non-binary,Desktop,Link,-0.49,Very Negative,True,Business,Very High,Excited,468694,1691,609,False,True,depressive episode,26.52900432900433
28,Ojalá pudiera desaparecer para siempre.,Arabic,Facebook,Suicidal Ideation,Spain,2024-03-24 7:56,9799,3681,2763,4.466,14,Male,Desktop,Video,0.76,Very Negative,False,Anonymous,Medium,Excited,358911,3065,1442,False,False,suicidal ideation,71.68470418470419
29,I feel hopeless and alone...,Arabic,Facebook,Depressive Episode,Germany,2024-03-21 16:33,1286,3363,833,1.9855,39,Non-binary,Mobile,Image,0.86,Very Positive,True,Anonymous,Medium,Anxious,892638,181,1613,True,True,anxiety crisis,29.874458874458874
30,Estoy perdiendo el interés en todo.,Mandarin,Twitter,Depressive Episode,India,2024-03-12 2:21,414,550,1574,1.8758,61,Other,Tablet,Text,-0.34,Very Negative,True,Business,Low,Happy,367845,2277,1061,True,False,depressive episode,76.55981240981242
31,I feel hopeless and alone...,Arabic,Twitter,Depressive Episode,Spain,2024-03-12 4:57,4345,3548,2830,2.6935,59,Female,Tablet,Text,0.62,Very Positive,False,Business,Medium,Sad,54539,1466,61,True,False,anxiety crisis,29.874458874458874
32,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Twitter,Manic Episode,Mexico,2024-03-24 4:37,304,2008,1327,0.5635,69,Other,Tablet,Video,-0.76,Neutral,False,Influencer,Low,Happy,84485,1649,2821,True,False,manic episode,79.19314574314573
33,有时候我想结束一切。,Mandarin,Facebook,Suicidal Ideation,Canada,2024-03-10 10:36,8167,2389,1005,2.7126,69,Male,Tablet,Video,0.98,Positive,False,Anonymous,Very High,Sad,365653,4576,3420,True,False,depressive episode,26.529004329004337
34,Ojalá pudiera desaparecer para siempre.,Mandarin,Facebook,Suicidal Ideation,France,2024-03-19 2:2,2465,2848,1360,2.3219,56,Other,Desktop,Text,-0.03,Very Positive,True,Anonymous,Very High,Happy,15806,2776,2172,False,False,suicidal ideation,71.68470418470419
35,Estoy perdiendo el interés en todo.,Arabic,Facebook,Depressive Episode,France,2024-03-24 10:32,2355,882,361,0.4384,20,Female,Mobile,Text,-0.45,Very Negative,False,Business,High,Hopeless,212133,2894,661,False,True,depressive episode,76.55981240981242
36,I don’t see the point in continuing...,Spanish,Twitter,Suicidal Ideation,Brazil,2024-03-26 3:43,1372,3065,2597,4.0518,65,Male,Mobile,Image,-0.01,Positive,True,Anonymous,Medium,Excited,904806,492,825,False,False,suicidal ideation,68.16443001443001
37,أشعر وكأنني أستطيع غزو العالم!,Spanish,Facebook,Manic Episode,USA,2024-03-21 0:14,5776,4405,1892,2.2861,30,Female,Desktop,Text,0.19,Negative,True,Anonymous,High,Hopeless,537356,1502,2493,False,False,depressive episode,26.529004329004337
38,"My heart is racing, I can’t breathe!",English,Twitter,Anxiety Crisis,Canada,2024-03-6 22:24,4791,3618,1807,2.8291,37,Non-binary,Desktop,Video,-0.2,Negative,True,Anonymous,Medium,Energetic,159150,1982,112,True,False,anxiety crisis,87.38607503607504
39,Everything would be easier if I wasn’t here.,Arabic,Facebook,Suicidal Ideation,Mexico,2024-03-6 1:37,6665,18,2908,2.3223,55,Female,Tablet,Text,-0.21,Negative,False,Influencer,High,Excited,693406,581,250,True,False,depressive episode,26.529004329004337
40,I don’t see the point in continuing...,English,Facebook,Suicidal Ideation,UAE,2024-03-10 3:11,6456,4658,1174,1.626,64,Non-binary,Tablet,Image,0.24,Neutral,True,Influencer,Low,Sad,866124,1883,2224,False,False,suicidal ideation,68.16443001443001
41,有时候我想结束一切。,Spanish,Twitter,Suicidal Ideation,China,2024-03-15 8:6,4688,4863,686,3.7024,14,Male,Desktop,Video,0.84,Positive,True,Personal,Very High,Excited,999287,1856,1792,False,True,depressive episode,26.529004329004337
42,Ojalá pudiera desaparecer para siempre.,Mandarin,Twitter,Suicidal Ideation,Japan,2024-03-24 12:7,5000,4609,2402,4.6161,52,Male,Mobile,Link,-0.16,Negative,True,Influencer,Low,Sad,757272,3738,3191,True,False,suicidal ideation,71.68470418470419
43,我喘不过气来了，好害怕！,Spanish,Twitter,Anxiety Crisis,UK,2024-03-10 2:33,9373,2106,2280,8.2736,49,Female,Desktop,Text,0.03,Negative,False,Anonymous,Medium,Energetic,762864,4195,1462,True,True,depressive episode,26.529004329004337
44,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Arabic,Twitter,Anxiety Crisis,India,2024-03-4 7:3,39,2595,2346,0.6103,35,Other,Desktop,Image,0.32,Positive,False,Business,Low,Happy,265158,4346,1874,False,False,depressive episode,26.529004329004337
45,我有无限的精力，今天能做任何事！,Spanish,Facebook,Manic Episode,India,2024-03-22 8:10,4769,4249,1043,1.2122,16,Male,Tablet,Video,0.27,Neutral,True,Influencer,Medium,Excited,301657,2308,3591,False,False,depressive episode,26.529004329004337
46,¡Mi ansiedad está fuera de control!,Arabic,Twitter,Anxiety Crisis,USA,2024-03-20 19:37,8950,4991,165,2.0452,33,Other,Tablet,Link,-0.65,Neutral,True,Business,Medium,Excited,786460,703,1120,True,False,anxiety crisis,34.701443001443
47,我喘不过气来了，好害怕！,Mandarin,Facebook,Anxiety Crisis,Australia,2024-03-20 10:5,64,3746,1264,1.8968,51,Male,Mobile,Video,0.42,Very Negative,False,Personal,Low,Energetic,691383,2789,977,False,False,depressive episode,26.52900432900433
48,Estoy perdiendo el interés en todo.,English,Twitter,Depressive Episode,China,2024-03-12 20:7,3249,4763,1954,2.0426,41,Male,Mobile,Video,0.15,Very Negative,True,Business,Medium,Hopeless,41549,1008,231,False,True,depressive episode,76.55981240981242
49,Everything would be easier if I wasn’t here.,Spanish,Facebook,Suicidal Ideation,Australia,2024-03-2 14:53,3114,4083,2281,1.1084,68,Other,Mobile,Link,-0.57,Very Negative,False,Influencer,Medium,Happy,515932,2143,2487,True,True,depressive episode,26.529004329004337
50,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Facebook,Manic Episode,USA,2024-03-19 8:17,5770,4949,1698,2.4285,66,Female,Mobile,Text,0.04,Very Negative,False,Anonymous,High,Calm,10096,4815,1746,False,True,manic episode,79.19314574314573
51,أشعر وكأنني أستطيع غزو العالم!,Mandarin,Facebook,Manic Episode,France,2024-03-5 10:42,2975,680,2127,0.6549,17,Other,Desktop,Video,-1.0,Positive,False,Influencer,Low,Excited,217658,737,3181,True,True,depressive episode,26.529004329004337
52,"My heart is racing, I can’t breathe!",English,Facebook,Anxiety Crisis,China,2024-03-2 8:41,8408,2113,631,2.3592,15,Other,Desktop,Link,0.21,Very Negative,True,Anonymous,Medium,Energetic,140050,2331,568,False,False,anxiety crisis,87.38607503607504
53,Estoy perdiendo el interés en todo.,Mandarin,Facebook,Depressive Episode,UK,2024-03-8 0:13,5566,1500,1601,6.3681,35,Non-binary,Desktop,Image,-0.95,Very Positive,False,Influencer,Low,Energetic,164896,2284,3404,True,True,depressive episode,76.55981240981242
54,有时候我觉得自己消失了也没人会注意到。,Spanish,Twitter,Depressive Episode,China,2024-03-12 8:27,4774,790,279,0.771,16,Other,Tablet,Text,0.26,Very Negative,False,Influencer,Very High,Energetic,338858,1900,1942,True,False,depressive episode,26.529004329004337
55,我喘不过气来了，好害怕！,Spanish,Twitter,Anxiety Crisis,USA,2024-03-15 1:29,4328,2184,1996,0.9308,63,Male,Tablet,Image,0.98,Positive,False,Anonymous,Low,Sad,292172,299,641,False,False,depressive episode,26.529004329004337
56,قلبي ينبض بسرعة، لا أستطيع التوقف عن الارتجاف!,Arabic,Twitter,Anxiety Crisis,Australia,2024-03-23 23:50,2627,4944,1874,14.0134,40,Female,Tablet,Text,0.78,Negative,False,Influencer,Medium,Happy,152675,4154,1900,False,False,depressive episode,26.529004329004337
57,I have so much energy! Haven’t slept in days!,Arabic,Facebook,Manic Episode,Japan,2024-03-2 3:2,1961,4679,2307,7.3037,39,Female,Mobile,Link,-0.76,Very Negative,True,Anonymous,Medium,Happy,893413,4254,1035,False,False,depressive episode,26.529004329004337
58,有时候我觉得自己消失了也没人会注意到。,Mandarin,Facebook,Depressive Episode,France,2024-03-3 1:29,6946,812,2055,1.2146,25,Female,Desktop,Link,0.71,Very Negative,True,Business,High,Energetic,582692,2699,2985,True,False,depressive episode,26.529004329004337
59,I don’t see the point in continuing...,English,Twitter,Suicidal Ideation,Spain,2024-03-9 23:17,199,1637,464,0.3376,63,Other,Tablet,Video,0.05,Very Positive,True,Business,High,Anxious,224822,3630,177,False,False,suicidal ideation,68.16443001443001
60,¡Mi ansiedad está fuera de control!,Arabic,Twitter,Anxiety Crisis,UAE,2024-03-8 3:58,1946,1250,2401,0.8051,69,Non-binary,Mobile,Image,-0.9,Very Negative,False,Influencer,High,Calm,230445,3096,2483,False,False,anxiety crisis,34.701443001443
61,Ojalá pudiera desaparecer para siempre.,Spanish,Facebook,Suicidal Ideation,France,2024-03-27 21:49,2912,3762,2059,5.1797,63,Male,Desktop,Text,0.35,Very Positive,False,Personal,Very High,Hopeless,321443,1711,3382,False,True,suicidal ideation,71.68470418470419
62,有时候我想结束一切。,English,Facebook,Suicidal Ideation,Australia,2024-03-24 19:17,8048,3366,558,1.544,33,Other,Desktop,Link,-0.77,Neutral,True,Business,Very High,Calm,673885,1361,3261,True,False,depressive episode,26.529004329004337
63,أتمنى لو لم أكن موجودًا.,Mandarin,Facebook,Suicidal Ideation,Germany,2024-03-15 14:23,2359,3715,2543,1.1961,15,Male,Mobile,Image,0.27,Positive,True,Business,Medium,Anxious,489402,3994,2443,False,False,depressive episode,26.529004329004337
64,我喘不过气来了，好害怕！,Spanish,Twitter,Anxiety Crisis,USA,2024-03-3 13:22,9099,4052,2034,3.4417,54,Non-binary,Tablet,Image,-0.36,Negative,False,Influencer,Low,Calm,53128,3002,1808,True,True,depressive episode,26.529004329004337
65,أتمنى لو لم أكن موجودًا.,Spanish,Facebook,Suicidal Ideation,UK,2024-03-27 20:11,5511,584,1218,0.7399,60,Female,Mobile,Link,-0.93,Negative,True,Personal,Low,Hopeless,907252,3629,740,True,False,depressive episode,26.529004329004337
66,¡Mi ansiedad está fuera de control!,Spanish,Facebook,Anxiety Crisis,Germany,2024-03-28 2:6,9839,4670,856,5.2297,33,Other,Mobile,Text,0.52,Neutral,True,Influencer,Very High,Calm,604400,4525,839,False,True,anxiety crisis,34.701443001443
67,أشعر وكأنني أستطيع غزو العالم!,Spanish,Facebook,Manic Episode,USA,2024-03-7 1:53,5863,3468,854,13.3486,23,Female,Tablet,Text,0.76,Negative,True,Anonymous,Low,Sad,716580,3768,3603,True,False,depressive episode,26.529004329004337
68,أشعر وكأنني أستطيع غزو العالم!,Arabic,Facebook,Manic Episode,Brazil,2024-03-7 4:22,2634,3560,451,5.8546,27,Female,Mobile,Text,-0.52,Neutral,True,Influencer,Medium,Sad,777992,2292,1074,True,True,depressive episode,26.529004329004337
69,"I feel like I’m losing control, I’m panicking!",Arabic,Facebook,Anxiety Crisis,India,2024-03-15 2:53,6604,2693,2707,8.8721,47,Other,Tablet,Video,-0.26,Positive,False,Business,Low,Hopeless,751268,164,724,True,True,anxiety crisis,69.41010101010102
70,有时候我觉得自己消失了也没人会注意到。,Spanish,Twitter,Depressive Episode,China,2024-03-14 17:32,6625,4056,582,1.6578,56,Female,Desktop,Link,-0.98,Negative,False,Business,High,Happy,585693,3349,3387,True,False,depressive episode,26.529004329004337
71,有时候我觉得自己消失了也没人会注意到。,Arabic,Facebook,Depressive Episode,France,2024-03-18 6:39,5370,3010,698,1.1547,51,Female,Desktop,Video,-0.43,Very Positive,False,Personal,Medium,Happy,400179,2622,1406,True,False,depressive episode,26.529004329004337
72,I don’t see the point in continuing...,Mandarin,Facebook,Suicidal Ideation,Japan,2024-03-26 6:5,8637,128,1221,1.1594,58,Other,Mobile,Link,-0.98,Very Negative,True,Influencer,Medium,Energetic,435018,1984,941,True,True,suicidal ideation,68.16443001443001
73,有时候我觉得自己消失了也没人会注意到。,English,Facebook,Depressive Episode,Japan,2024-03-23 2:6,1688,3758,1895,1.274,65,Female,Tablet,Link,0.41,Negative,True,Personal,Very High,Calm,220745,3131,3426,False,False,depressive episode,26.529004329004337
74,أتمنى لو لم أكن موجودًا.,Arabic,Twitter,Suicidal Ideation,UK,2024-03-5 10:5,7674,4231,1099,9.1901,67,Other,Mobile,Link,0.04,Negative,False,Personal,Very High,Anxious,132553,1049,790,False,False,depressive episode,26.52900432900433
75,"I feel like I’m losing control, I’m panicking!",Mandarin,Twitter,Anxiety Crisis,UAE,2024-03-13 5:24,3561,3448,1563,1.9522,25,Other,Mobile,Text,0.66,Negative,False,Influencer,Low,Happy,377973,174,1944,True,True,anxiety crisis,69.41010101010102
76,有时候我想结束一切。,English,Twitter,Suicidal Ideation,UAE,2024-03-17 15:17,4875,4032,1695,1.7256,24,Other,Mobile,Image,-0.5,Positive,False,Business,Medium,Energetic,807824,1431,2529,True,True,depressive episode,26.529004329004337
77,有时候我觉得自己消失了也没人会注意到。,Spanish,Twitter,Depressive Episode,Japan,2024-03-14 9:51,9627,1004,2518,1.4054,69,Non-binary,Desktop,Image,-0.42,Very Positive,False,Anonymous,Medium,Energetic,356687,2464,2219,False,False,depressive episode,26.529004329004337
78,I have so much energy! Haven’t slept in days!,Spanish,Facebook,Manic Episode,Australia,2024-03-1 3:16,7281,844,2158,2.1347,44,Male,Desktop,Image,-0.66,Positive,True,Personal,High,Calm,965869,4314,1492,False,False,depressive episode,26.529004329004337
79,有时候我觉得自己消失了也没人会注意到。,Mandarin,Facebook,Depressive Episode,Spain,2024-03-20 11:47,5422,751,1729,1.158,50,Male,Tablet,Video,0.7,Negative,False,Anonymous,Low,Happy,239287,677,1527,False,True,depressive episode,26.529004329004337
80,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,UAE,2024-03-21 15:34,1409,508,1736,4.4822,28,Other,Tablet,Video,0.55,Very Positive,False,Influencer,High,Energetic,147238,918,328,True,False,anxiety crisis,29.874458874458874
81,Everything would be easier if I wasn’t here.,Spanish,Facebook,Suicidal Ideation,USA,2024-03-12 5:48,7955,2763,871,9.0398,18,Other,Mobile,Video,-0.13,Positive,False,Influencer,Very High,Energetic,425866,2778,413,True,False,depressive episode,26.529004329004337
82,Everything would be easier if I wasn’t here.,Mandarin,Facebook,Suicidal Ideation,Mexico,2024-03-8 14:46,1971,1849,1417,1.42,21,Other,Mobile,Image,0.13,Very Negative,False,Personal,Very High,Sad,581815,305,141,True,False,depressive episode,26.529004329004337
83,لا شيء يجلب لي السعادة بعد الآن.,Mandarin,Facebook,Depressive Episode,Canada,2024-03-2 19:24,1724,4088,823,0.8809,24,Male,Mobile,Image,0.55,Neutral,True,Personal,Very High,Calm,85991,4841,2419,False,False,depressive episode,26.529004329004337
84,Everything would be easier if I wasn’t here.,English,Facebook,Suicidal Ideation,Japan,2024-03-14 21:14,4292,3590,118,1.237,60,Male,Tablet,Link,-0.32,Positive,False,Personal,High,Excited,789724,2600,411,True,False,depressive episode,26.52900432900433
85,أتمنى لو لم أكن موجودًا.,English,Twitter,Suicidal Ideation,UK,2024-03-26 12:57,6533,4910,819,2.0772,14,Male,Desktop,Link,0.38,Positive,False,Influencer,Low,Happy,724581,1722,95,False,False,depressive episode,26.529004329004337
86,Nothing seems to matter anymore.,Spanish,Facebook,Depressive Episode,Australia,2024-03-12 16:7,4844,4767,1032,2.1659,68,Other,Desktop,Link,-0.2,Neutral,True,Anonymous,High,Energetic,511015,4653,1276,True,False,depressive episode,73.04213564213563
87,"¡Tengo una energía increíble, no puedo parar!",Spanish,Twitter,Manic Episode,Australia,2024-03-20 20:8,2230,163,231,0.7956,15,Female,Tablet,Link,0.14,Very Negative,False,Personal,Low,Excited,251998,744,579,True,True,manic episode,79.19314574314573
88,I have so much energy! Haven’t slept in days!,Mandarin,Twitter,Manic Episode,Spain,2024-03-1 22:52,3669,2673,16,1.4407,53,Male,Desktop,Link,-0.02,Positive,False,Anonymous,Medium,Energetic,750699,1142,2675,False,True,depressive episode,26.529004329004337
89,Ojalá pudiera desaparecer para siempre.,Mandarin,Twitter,Suicidal Ideation,Brazil,2024-03-14 18:30,9958,2065,1395,2.3598,25,Non-binary,Tablet,Text,0.67,Very Negative,True,Anonymous,Very High,Happy,752332,4011,262,True,True,suicidal ideation,71.68470418470419
90,有时候我觉得自己消失了也没人会注意到。,Arabic,Twitter,Depressive Episode,Australia,2024-03-24 10:12,2388,2587,1133,0.6744,48,Female,Desktop,Link,-0.37,Very Negative,False,Personal,Medium,Energetic,790544,126,1509,True,False,depressive episode,26.529004329004337
91,我有无限的精力，今天能做任何事！,English,Twitter,Manic Episode,USA,2024-03-14 21:48,510,2408,2697,1.3705,59,Other,Tablet,Image,-0.87,Very Positive,True,Business,High,Energetic,393915,3398,104,True,True,depressive episode,26.529004329004337
92,"¡Tengo una energía increíble, no puedo parar!",Mandarin,Facebook,Manic Episode,Brazil,2024-03-14 15:12,8465,3744,2346,1.7144,31,Non-binary,Tablet,Link,1.0,Neutral,True,Anonymous,High,Anxious,152118,2513,2122,False,False,manic episode,79.19314574314573
93,¡Mi ansiedad está fuera de control!,Arabic,Twitter,Anxiety Crisis,Spain,2024-03-13 6:46,5827,3765,2380,2.1552,61,Other,Tablet,Text,-0.28,Very Negative,True,Business,High,Hopeless,907310,2158,375,True,True,anxiety crisis,34.701443001443
94,I have so much energy! Haven’t slept in days!,Mandarin,Twitter,Manic Episode,Germany,2024-03-23 13:23,8284,3476,973,1.7648,52,Female,Desktop,Video,-0.54,Very Positive,True,Personal,Medium,Sad,736235,4697,3082,False,False,depressive episode,26.529004329004337
95,"¡Tengo una energía increíble, no puedo parar!",Spanish,Twitter,Manic Episode,Germany,2024-03-21 2:43,8726,4849,2566,5.4128,67,Non-binary,Mobile,Link,-0.12,Positive,True,Anonymous,Low,Hopeless,431562,1694,147,True,False,manic episode,79.19314574314573
96,我有无限的精力，今天能做任何事！,Spanish,Facebook,Manic Episode,USA,2024-03-22 4:42,5749,263,1403,1.3538,18,Other,Tablet,Video,-0.63,Negative,True,Business,Very High,Anxious,761430,1898,906,False,False,depressive episode,26.529004329004337
97,Nothing seems to matter anymore.,Mandarin,Facebook,Depressive Episode,China,2024-03-16 6:23,1061,3342,413,1.5989,59,Female,Desktop,Video,0.93,Neutral,False,Personal,Medium,Calm,390273,2744,975,False,False,depressive episode,73.04213564213563
98,有时候我想结束一切。,English,Facebook,Suicidal Ideation,Brazil,2024-03-16 9:38,9944,2067,2269,1.9891,49,Non-binary,Tablet,Link,-0.13,Positive,True,Personal,High,Calm,646330,4760,1051,False,True,depressive episode,26.529004329004337
99,I feel hopeless and alone...,Spanish,Facebook,Depressive Episode,Canada,2024-03-4 0:33,4066,852,661,4.9025,13,Male,Tablet,Link,0.96,Very Negative,True,Influencer,Very High,Calm,472911,3465,3461,False,True,anxiety crisis,29.874458874458874
100,我喘不过气来了，好害怕！,Mandarin,Facebook,Anxiety Crisis,Australia,2024-03-22 23:56,9172,111,1493,8.1698,23,Male,Desktop,Video,-0.25,Neutral,True,Personal,Medium,Hopeless,718631,102,2706,True,False,depressive episode,26.529004329004337
101,我喘不过气来了，好害怕！,Spanish,Twitter,Anxiety Crisis,Spain,2024-03-5 4:34,4686,4659,805,8.7651,58,Female,Mobile,Video,0.05,Neutral,False,Business,Very High,Hopeless,593304,2178,1271,True,False,depressive episode,26.529004329004337
102,我有无限的精力，今天能做任何事！,Arabic,Twitter,Manic Episode,Germany,2024-03-4 2:23,9364,4552,1163,2.0611,32,Non-binary,Mobile,Image,0.38,Very Positive,True,Personal,High,Sad,540163,1584,3564,False,False,depressive episode,26.529004329004337
103,I have so much energy! Haven’t slept in days!,Arabic,Facebook,Manic Episode,Spain,2024-03-5 13:57,1848,3043,2303,0.8769,45,Female,Tablet,Text,0.72,Neutral,False,Business,Medium,Calm,656473,802,1612,True,True,depressive episode,26.529004329004337
104,I have so much energy! Haven’t slept in days!,Arabic,Twitter,Manic Episode,Canada,2024-03-1 0:55,7213,2038,264,1.5479,45,Female,Tablet,Image,0.14,Negative,False,Influencer,Very High,Energetic,16640,2462,872,True,True,depressive episode,26.529004329004337
105,我喘不过气来了，好害怕！,Arabic,Facebook,Anxiety Crisis,Brazil,2024-03-25 3:43,8651,305,2816,1.3511,46,Female,Tablet,Link,-0.45,Positive,False,Business,High,Hopeless,724733,3435,2986,True,False,depressive episode,26.529004329004337
